Table Name,Column Name,Data Type
WcReports_DocApprovalQ,Document_Id,nvarchar
WcReports_DocApprovalQ,Document_Name,nvarchar
WcReports_DocApprovalQ,Document_Description,nvarchar
WcReports_DocApprovalQ,Document_ThumbnailUrl,nvarchar
WcReports_DocApprovalQ,Document_LastVersionIndex,smallint
WcReports_DocApprovalQ,Document_LastRevision,smallint
WcReports_DocApprovalQ,DocVersion_Id,nvarchar
WcReports_DocApprovalQ,DocVersion_Counter,smallint
WcReports_DocApprovalQ,DocVersion_FileSize,float
WcReports_DocApprovalQ,DocVersion_CreatedDate,datetime
WcReports_DocApprovalQ,DocVersion_Description,nvarchar
WcReports_DocApprovalQ,DocVersion_AuthorId,nvarchar
WcReports_DocApprovalQ,DocVersion_Author,nvarchar
WcReports_DocApprovalQ,DocVersion_DelegateId,nvarchar
WcReports_DocApprovalQ,DocVersion_Delegate,nvarchar
WcReports_DocApprovalQ,DocVersion_OrigFileName,nvarchar
WcReports_DocApprovalQ,DocVersion_UploadDocType,nvarchar
WcReports_DocApprovalQ,DocVersion_ApprovalStatusId,nvarchar
WcReports_DocApprovalQ,DocVersion_ApprovalStatus,nvarchar
WcReports_DocApprovalQ,DocVersion_AttrCatId,nvarchar
WcReports_DocApprovalQ,Project_Id,nvarchar
WcReports_DocApprovalQ,Project_Name,nvarchar
WcReports_DocApprovalQ,Project_Description,nvarchar
WcReports_DocApprovalQ,Project_ThumbnailUrl,nvarchar
WcReports_DocApprovalQ,Project_CreatedDate,datetime
WcReports_DocApprovalQ,Project_CreatorId,nvarchar
WcReports_DocApprovalQ,Project_Creator,nvarchar
WcReports_DocApprovalQ,Project_CreatorDelegateId,nvarchar
WcReports_DocApprovalQ,Project_CreatorDelegate,nvarchar
WcReports_DocApprovalQ,Project_DueDate,datetime
WcReports_DocApprovalQ,Project_ModifiedDate,datetime
WcReports_DocApprovalQ,Project_StatusId,nvarchar
WcReports_DocApprovalQ,Project_StatusName,nvarchar
WcReports_DocApprovalQ,Project_IsActive,smallint
WcReports_DocApprovalQ,Project_CustomerId,nvarchar
WcReports_DocApprovalQ,Project_CustomerLocationId,nvarchar
WcReports_DocApprovalQ,Project_CustomerLocation,nvarchar
WcReports_DocApprovalQ,Project_CustomerLocationShort,nvarchar
WcReports_DocApprovalQ,Project_Customer,nvarchar
WcReports_DocApprovalQ,Project_CustomerLegalName,nvarchar
WcReports_DocApprovalQ,Project_FolderId,nvarchar
WcReports_DocApprovalQ,Project_FolderName,nvarchar
WcReports_DocApprovalQ,ApprovalInfo_StartedDate,datetime
WcReports_DocApprovalQ,ApprovalInfo_EndDate,datetime
WcReports_DocApprovalQ,ApprovalInfo_DueDate,datetime
WcReports_DocApprovalQ,ApprovalInfo_ApprovalState,nvarchar
WcReports_DocApprovalQ,ApprovalInfo_Duration_Days,float
WcReports_DocApprovalQ,ApprovalStage_Id,nvarchar
WcReports_DocApprovalQ,ApprovalStage_ApprovalRuleId,nvarchar
WcReports_DocApprovalQ,ApprovalStage_StageName,nvarchar
WcReports_DocApprovalQ,ApprovalStage_StageCounter,smallint
WcReports_DocApprovalQ,ApprovalStage_DueDate,datetime
WcReports_DocApprovalQ,ApprovalStage_LeadTime,int
WcReports_DocApprovalQ,DocVersion_IsApproved,int
WcReports_DocVersion_AttrQ,DocVersion_Id,nvarchar
WcReports_DocVersion_AttrQ,DocVersion_AttrCatId,nvarchar
WcReports_DocVersion_AttrQ,Document_Id,nvarchar
WcReports_DocVersion_AttrQ,Project_Id,nvarchar
WcReports_DocVersion_AttrQ,Project_FolderId,nvarchar
WcReports_DocVersion_AttrQ,DocVersion_AttrId,nvarchar
WcReports_DocVersion_AttrQ,DocVersion_AttrName,nvarchar
WcReports_DocVersion_AttrQ,DocVersion_AttrLanguageTag,nvarchar
WcReports_DocVersion_AttrQ,DocVersion_AttrValue,nvarchar
WcReports_DocVersion_AttrQ,DocVersion_AttrValue_UsesXML,bit
WcReports_DocVersion_AttrQ,DocVersion_AttrValue_XML,varbinary
WcReports_DocVersion_AttrQ,DocVersion_AttrUnitId,nvarchar
WcReports_DocVersion_AttrQ,DocVersion_AttrUnitName,nvarchar
WcReports_DocVersion_AttrQ,DocVersion_AttrUnitType,smallint
WcReports_DocVersionQ,Document_Id,nvarchar
WcReports_DocVersionQ,Document_Name,nvarchar
WcReports_DocVersionQ,Document_Description,nvarchar
WcReports_DocVersionQ,Document_ThumbnailUrl,nvarchar
WcReports_DocVersionQ,Document_LastVersionIndex,smallint
WcReports_DocVersionQ,Document_LastRevision,smallint
WcReports_DocVersionQ,DocVersion_Id,nvarchar
WcReports_DocVersionQ,DocVersion_Counter,smallint
WcReports_DocVersionQ,DocVersion_Revision,smallint
WcReports_DocVersionQ,DocVersion_FileSize,float
WcReports_DocVersionQ,DocVersion_CreatedDate,datetime
WcReports_DocVersionQ,DocVersion_Description,nvarchar
WcReports_DocVersionQ,DocVersion_AuthorId,nvarchar
WcReports_DocVersionQ,DocVersion_Author,nvarchar
WcReports_DocVersionQ,DocVersion_AuthorOwnerId,nvarchar
WcReports_DocVersionQ,DocVersion_DelegateId,nvarchar
WcReports_DocVersionQ,DocVersion_Delegate,nvarchar
WcReports_DocVersionQ,DocVersion_OrigFileName,nvarchar
WcReports_DocVersionQ,DocVersion_UploadDocType,nvarchar
WcReports_DocVersionQ,DocVersion_ApprovalStatusId,nvarchar
WcReports_DocVersionQ,DocVersion_AttrCatId,nvarchar
WcReports_DocVersionQ,Project_Id,nvarchar
WcReports_DocVersionQ,Project_Name,nvarchar
WcReports_DocVersionQ,Project_Description,nvarchar
WcReports_DocVersionQ,Project_ThumbnailUrl,nvarchar
WcReports_DocVersionQ,Project_CreatedDate,datetime
WcReports_DocVersionQ,Project_CreatorId,nvarchar
WcReports_DocVersionQ,Project_Creator,nvarchar
WcReports_DocVersionQ,Project_CreatorDelegateId,nvarchar
WcReports_DocVersionQ,Project_CreatorDelegate,nvarchar
WcReports_DocVersionQ,Project_ModifiedDate,datetime
WcReports_DocVersionQ,Project_DueDate,datetime
WcReports_DocVersionQ,Project_StatusId,nvarchar
WcReports_DocVersionQ,Project_StatusName,nvarchar
WcReports_DocVersionQ,Project_IsActive,smallint
WcReports_DocVersionQ,Project_ManagerIsGroup,smallint
WcReports_DocVersionQ,Project_ManagerId,nvarchar
WcReports_DocVersionQ,Project_Manager,nvarchar
WcReports_DocVersionQ,Project_SalesPersonId,nvarchar
WcReports_DocVersionQ,Project_SalesPerson,nvarchar
WcReports_DocVersionQ,Project_CustomerId,nvarchar
WcReports_DocVersionQ,Project_CustomerLocationId,nvarchar
WcReports_DocVersionQ,Project_CustomerLocation,nvarchar
WcReports_DocVersionQ,Project_CustomerLocationShort,nvarchar
WcReports_DocVersionQ,Project_Customer,nvarchar
WcReports_DocVersionQ,Project_CustomerLegalName,nvarchar
WcReports_DocVersionQ,Project_BOM_Id,nvarchar
WcReports_DocVersionQ,Project_BOM_Order,int
WcReports_DocVersionQ,Project_BOM_Count,float
WcReports_DocVersionQ,Project_BOM_Details,varbinary
WcReports_DocVersionQ,Project_FolderId,nvarchar
WcReports_DocVersionQ,Project_FolderName,nvarchar
