Table Name,Column Name,Data Type
WcReports_Project_AttrQ,Project_Id,nvarchar
WcReports_Project_AttrQ,Project_AttrCatId,nvarchar
WcReports_Project_AttrQ,Project_AttrId,nvarchar
WcReports_Project_AttrQ,Project_AttrName,nvarchar
WcReports_Project_AttrQ,Project_AttrLanguageTag,nvarchar
WcReports_Project_AttrQ,Project_AttrValue,nvarchar
WcReports_Project_AttrQ,Project_AttrValue_UsesXML,bit
WcReports_Project_AttrQ,Project_AttrValue_XML,varbinary
WcReports_Project_AttrQ,Project_AttrUnitId,nvarchar
WcReports_Project_AttrQ,Project_AttrUnitName,nvarchar
WcReports_Project_AttrQ,Project_AttrUnitType,smallint
WcReports_ProjectsQ,Project_Id,nvarchar
WcReports_ProjectsQ,Project_Name,nvarchar
WcReports_ProjectsQ,Project_Description,nvarchar
WcReports_ProjectsQ,Project_ThumbnailUrl,nvarchar
WcReports_ProjectsQ,Project_CreatedDate,datetime
WcReports_ProjectsQ,Project_CreatorId,nvarchar
WcReports_ProjectsQ,Project_Creator,nvarchar
WcReports_ProjectsQ,Project_CreatorDelegateId,nvarchar
WcReports_ProjectsQ,Project_CreatorDelegate,nvarchar
WcReports_ProjectsQ,Project_ModifiedDate,datetime
WcReports_ProjectsQ,Project_DueDate,datetime
WcReports_ProjectsQ,Project_AttrCatId,nvarchar
WcReports_ProjectsQ,Project_StatusId,nvarchar
WcReports_ProjectsQ,Project_StatusName,nvarchar
WcReports_ProjectsQ,Project_IsActive,smallint
WcReports_ProjectsQ,Project_ManagerIsGroup,smallint
WcReports_ProjectsQ,Project_ManagerId,nvarchar
WcReports_ProjectsQ,Project_Manager,nvarchar
WcReports_ProjectsQ,Project_SalesPersonId,nvarchar
WcReports_ProjectsQ,Project_SalesPerson,nvarchar
WcReports_ProjectsQ,Project_CustomerId,nvarchar
WcReports_ProjectsQ,Project_CustomerLocationId,nvarchar
WcReports_ProjectsQ,Project_CustomerLocation,nvarchar
WcReports_ProjectsQ,Project_CustomerLocationShort,nvarchar
WcReports_ProjectsQ,Project_Customer,nvarchar
WcReports_ProjectsQ,Project_CustomerLegalName,nvarchar
WcReports_ProjectsQ,Project_Duration_Days,float
WcReports_ProjectsQ,Project_SourceProjectId,nvarchar
WcReports_ProjectsQ,Project_SourceProjectName,nvarchar
WcReports_ProjectsQ,Project_SourceTemplateId,nvarchar
WcReports_ProjectsQ,Project_SourceTemplateName,nvarchar
