Table Name,Column Name,Data Type
WcReports_TasksQ,Task_Id,nvarchar
WcReports_TasksQ,Task_Name,nvarchar
WcReports_TasksQ,Task_Description,nvarchar
WcReports_TasksQ,Task_CreatedDate,datetime
WcReports_TasksQ,Task_StartedDate,datetime
WcReports_TasksQ,Task_CompletedDate,datetime
WcReports_TasksQ,Task_DueDate,datetime
WcReports_TasksQ,Task_EstimatedDate,datetime
WcReports_TasksQ,Task_ModifiedDate,datetime
WcReports_TasksQ,Task_LeadTime,int
WcReports_TasksQ,Task_StatusId,nvarchar
WcReports_TasksQ,Task_StatusName,nvarchar
WcReports_TasksQ,Task_StatusType,smallint
WcReports_TasksQ,Task_AssigneeIsGroup,smallint
WcReports_TasksQ,Task_AssigneeId,nvarchar
WcReports_TasksQ,Task_Assignee,nvarchar
WcReports_TasksQ,Task_DelegateId,nvarchar
WcReports_TasksQ,Task_Delegate,nvarchar
WcReports_TasksQ,Task_PreviousAssigneeIsGroup,smallint
WcReports_TasksQ,Task_PreviousAssigneeId,nvarchar
WcReports_TasksQ,Task_PreviousAssignee,nvarchar
WcReports_TasksQ,Task_CreatorId,nvarchar
WcReports_TasksQ,Task_Creator,nvarchar
WcReports_TasksQ,Task_CreatorDelegateId,nvarchar
WcReports_TasksQ,Task_CreatorDelegate,nvarchar
WcReports_TasksQ,Task_TypeId,nvarchar
WcReports_TasksQ,Task_TypeName,nvarchar
WcReports_TasksQ,Task_TypeDescription,nvarchar
WcReports_TasksQ,Task_Duration_Days,float
WcReports_TasksQ,Task_MasterId,nvarchar
WcReports_TasksQ,Task_HasWorkflow,smallint
WcReports_TasksQ,Task_IsSigned,smallint
WcReports_TasksQ,Project_Id,nvarchar
WcReports_TasksQ,Project_Name,nvarchar
WcReports_TasksQ,Project_Description,nvarchar
WcReports_TasksQ,Project_ThumbnailUrl,nvarchar
WcReports_TasksQ,Project_CreatedDate,datetime
WcReports_TasksQ,Project_CreatorId,nvarchar
WcReports_TasksQ,Project_Creator,nvarchar
WcReports_TasksQ,Project_CreatorDelegateId,nvarchar
WcReports_TasksQ,Project_CreatorDelegate,nvarchar
WcReports_TasksQ,Project_ModifiedDate,datetime
WcReports_TasksQ,Project_DueDate,datetime
WcReports_TasksQ,Project_StatusId,nvarchar
WcReports_TasksQ,Project_StatusName,nvarchar
WcReports_TasksQ,Project_IsActive,smallint
WcReports_TasksQ,Project_ManagerIsGroup,smallint
WcReports_TasksQ,Project_ManagerId,nvarchar
WcReports_TasksQ,Project_Manager,nvarchar
WcReports_TasksQ,Project_SalesPersonId,nvarchar
WcReports_TasksQ,Project_SalesPerson,nvarchar
WcReports_TasksQ,Project_CustomerId,nvarchar
WcReports_TasksQ,Project_CustomerLocationId,nvarchar
WcReports_TasksQ,Project_CustomerLocation,nvarchar
WcReports_TasksQ,Project_CustomerLocationShort,nvarchar
WcReports_TasksQ,Project_Customer,nvarchar
WcReports_TasksQ,Project_CustomerLegalName,nvarchar
