Table Name,Column Name,Data Type
WcReports_UserHistoryQ,UserHistory_Id,nvarchar
WcReports_UserHistoryQ,UserHistory_EventId,nvarchar
WcReports_UserHistoryQ,UserHistory_EventUserId,nvarchar
WcReports_UserHistoryQ,UserHistory_EventUser,nvarchar
WcReports_UserHistoryQ,UserHistory_OperatorId,nvarchar
WcReports_UserHistoryQ,UserHistory_Operator,nvarchar
WcReports_UserHistoryQ,UserHistory_DelegatorId,nvarchar
WcReports_UserHistoryQ,UserHistory_Delegator,nvarchar
WcReports_UserHistoryQ,UserHistory_EventDate,datetime
WcReports_UserHistoryQ,UserHistory_NewValue,nvarchar
WcReports_UserHistoryQ,UserHistory_EventName,nvarchar
WcReports_UserHistoryQ,UserHistory_EventLangStr,nvarchar
WcReports_UserHistoryQ,UserHistory_EventDisplayStr,nvarchar
WcReports_UsersQ,User_Id,nvarchar
WcReports_UsersQ,User_Name,nvarchar
WcReports_UsersQ,User_CustomerId,nvarchar
WcReports_UsersQ,User_CustomerLocationId,nvarchar
WcReports_UsersQ,User_CustomerLocation,nvarchar
WcReports_UsersQ,User_CustomerLocationShort,nvarchar
WcReports_UsersQ,User_Customer,nvarchar
WcReports_UsersQ,User_CustomerLegalName,nvarchar
WcReports_UsersQ,User_CustomerMenuId,nvarchar
WcReports_UsersQ,User_CustomerMenuName,nvarchar
WcReports_UsersQ,User_CustomerMenuDescription,nvarchar
WcReports_UsersQ,User_FullName,nvarchar
WcReports_UsersQ,User_FirstName,nvarchar
WcReports_UsersQ,User_LastName,nvarchar
WcReports_UsersQ,User_Email,nvarchar
WcReports_UsersQ,User_PhoneNumber,nvarchar
WcReports_UsersQ,User_MobileNumber,nvarchar
WcReports_UsersQ,User_OwnerId,nvarchar
WcReports_UsersQ,User_Owner,nvarchar
WcReports_UsersQ,User_Function,nvarchar
WcReports_UsersQ,User_CanCreateTaskType,int
WcReports_UsersQ,User_CanCreateUser,int
WcReports_UsersQ,User_UserMenuId,nvarchar
WcReports_UsersQ,User_UserMenuName,nvarchar
WcReports_UsersQ,User_UserMenuDescription,nvarchar
WcReports_UsersQ,User_IsActive,int
WcReports_UsersQ,User_IsRegistered,smallint
WcReports_UsersQ,User_GroupName,nvarchar
WcReports_UsersQ,User_GroupId,nvarchar
WcReports_UsersQ,User_GroupManager,int
